ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
21:11:49,8732,30967,1,621,697,gradle#44764:ws621/pv697
21:11:59,8353,31657,3,984,1360,gradle#44764:ws621/pv697|gradle#24848:ws100/pv198|gradle#37792:ws263/pv465
21:12:10,7792,33133,4,1518,2802,gradle#44764:ws621/pv697|gradle#24848:ws99/pv197|gradle#37792:ws547/pv618|client#49548:ws251/pv1290
21:12:20,6974,33262,4,2373,2977,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws531/pv602|client#49548:ws1121/pv1479
21:12:31,6077,34079,4,3387,3924,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws530/pv600|client#49548:ws2136/pv2427
21:12:42,6198,33970,4,3169,3704,gradle#44764:ws621/pv697|gradle#24848:ws100/pv201|gradle#37792:ws530/pv600|client#49548:ws1918/pv2206
21:12:53,5997,34175,4,3502,4043,gradle#44764:ws621/pv697|gradle#24848:ws100/pv202|gradle#37792:ws531/pv601|client#49548:ws2250/pv2543
21:13:03,6236,33912,4,3047,3578,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws530/pv600|client#49548:ws1796/pv2081
21:13:14,5483,34672,4,3888,4425,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws530/pv600|client#49548:ws2637/pv2928
21:13:25,6070,34064,4,3125,3655,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws532/pv602|client#49548:ws1872/pv2156
21:13:35,6225,33906,4,3187,3719,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws554/pv626|client#49548:ws1912/pv2196
21:13:46,6143,33999,4,3150,3679,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws532/pv602|client#49548:ws1897/pv2180
21:13:57,6108,34047,4,3242,3774,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws532/pv603|client#49548:ws1989/pv2274
21:14:07,6050,34065,4,3188,3719,gradle#44764:ws621/pv697|gradle#24848:ws100/pv200|gradle#37792:ws532/pv603|client#49548:ws1935/pv2219
21:14:18,5679,34201,4,3270,3799,gradle#44764:ws621/pv697|gradle#24848:ws117/pv216|gradle#37792:ws535/pv605|client#49548:ws1997/pv2281
21:14:29,5381,34531,4,3807,4337,gradle#44764:ws621/pv697|gradle#24848:ws99/pv197|gradle#37792:ws535/pv605|client#49548:ws2552/pv2838
21:14:39,4939,34985,4,3419,3948,gradle#44764:ws621/pv697|gradle#24848:ws99/pv197|gradle#37792:ws535/pv605|client#49548:ws2164/pv2449
21:14:50,5677,34204,4,3257,3763,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2001/pv2262
21:15:01,5635,34248,4,3318,3823,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2062/pv2322
21:15:11,5589,34280,4,3414,3920,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2158/pv2419
21:15:22,5587,34301,4,3376,3879,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2120/pv2378
21:15:33,5575,34295,4,3380,3882,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2124/pv2381
21:15:43,5317,34581,4,3707,4214,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2451/pv2713
21:15:54,4799,35099,4,4174,4680,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2918/pv3179
21:16:05,5580,34298,4,3346,3849,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2090/pv2348
21:16:15,4695,35182,4,4206,4712,gradle#44764:ws621/pv697|gradle#24848:ws99/pv198|gradle#37792:ws536/pv606|client#49548:ws2950/pv3211
21:16:26,4836,35019,4,4232,4738,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws536/pv606|client#49548:ws2975/pv3236
21:16:37,4821,35040,4,4241,4746,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws536/pv606|client#49548:ws2984/pv3244
21:16:47,5646,34217,4,3403,3905,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv601|client#49548:ws2150/pv2408
21:16:58,5576,34259,4,3437,3938,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2184/pv2440
21:17:08,5443,34410,4,3536,4037,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2283/pv2539
21:17:19,5142,34715,4,3884,4391,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2631/pv2893
21:17:30,4688,35165,4,4296,4800,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws3043/pv3302
21:17:40,5470,34372,4,3497,3999,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2244/pv2501
21:17:51,5390,34474,4,3607,4108,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2354/pv2610
21:18:02,4972,34914,4,4182,4687,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2929/pv3189
21:18:12,5370,34489,4,3584,4084,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2331/pv2586
21:18:23,5351,34488,4,3601,4101,gradle#44764:ws621/pv697|gradle#24848:ws100/pv199|gradle#37792:ws532/pv602|client#49548:ws2348/pv2603
21:18:34,4669,35109,4,4282,4782,gradle#44764:ws621/pv697|gradle#24848:ws99/pv197|gradle#37792:ws534/pv604|client#49548:ws3028/pv3284
21:18:44,4637,35162,4,4296,4785,gradle#44764:ws621/pv697|gradle#24848:ws99/pv196|gradle#37792:ws530/pv599|client#49548:ws3046/pv3293
21:18:55,4660,35091,4,4250,4727,gradle#44764:ws621/pv697|gradle#24848:ws99/pv196|gradle#37792:ws530/pv599|client#49548:ws3000/pv3235
21:19:06,4083,36617,4,4840,6253,gradle#44764:ws621/pv697|gradle#24848:ws100/pv198|gradle#37792:ws554/pv625|client#49548:ws3565/pv4733
21:19:16,3564,38902,4,5652,8705,gradle#44764:ws621/pv697|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4398/pv7207
21:19:27,3629,38871,4,5561,8637,gradle#44764:ws621/pv697|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4307/pv7139
21:19:38,3559,38994,4,5634,8748,gradle#44764:ws621/pv697|gradle#24848:ws100/pv198|gradle#37792:ws532/pv602|client#49548:ws4381/pv7251
21:19:48,3526,39016,4,5644,8747,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4390/pv7250
21:19:59,3500,39029,4,5643,8731,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4389/pv7234
21:20:09,3667,38881,4,5646,8748,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4392/pv7251
21:20:20,3515,39029,4,5653,8745,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4399/pv7248
21:20:31,3473,39088,4,5644,8736,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4390/pv7239
21:20:41,3431,39119,4,5644,8736,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws533/pv603|client#49548:ws4390/pv7239
21:20:52,3472,39054,4,5601,8633,gradle#44764:ws621/pv696|gradle#24848:ws105/pv202|gradle#37792:ws532/pv601|client#49548:ws4343/pv7134
21:21:03,3445,38977,4,5602,8558,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws532/pv601|client#49548:ws4349/pv7063
21:21:13,3427,38989,4,5621,8570,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws536/pv606|client#49548:ws4364/pv7070
21:21:24,3571,39059,4,5593,8542,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws536/pv606|client#49548:ws4336/pv7042
21:21:35,5043,38987,4,5596,8545,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws536/pv606|client#49548:ws4339/pv7045
21:21:45,4965,39080,4,5601,8550,gradle#44764:ws621/pv696|gradle#24848:ws100/pv198|gradle#37792:ws536/pv606|client#49548:ws4344/pv7050
21:21:56,4974,39059,4,5613,8563,gradle#44764:ws621/pv696|gradle#24848:ws100/pv199|gradle#37792:ws536/pv606|client#49548:ws4356/pv7062
