ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
17:46:12,4924,38259,4,6081,9257,gradle#46140:ws100/pv197|gradle#4284:ws532/pv602|client#23812:ws4855/pv7775|gradle#16924:ws594/pv683
17:46:23,4977,38068,4,6020,9070,gradle#46140:ws105/pv202|gradle#4284:ws540/pv611|client#23812:ws4781/pv7574|gradle#16924:ws594/pv683
17:46:33,4933,38062,4,6039,9040,gradle#46140:ws99/pv196|gradle#4284:ws540/pv611|client#23812:ws4802/pv7546|gradle#16924:ws598/pv687
17:46:44,4850,38141,4,6044,9043,gradle#46140:ws99/pv196|gradle#4284:ws540/pv611|client#23812:ws4807/pv7549|gradle#16924:ws598/pv687
17:46:55,4869,38134,4,6050,9048,gradle#46140:ws100/pv196|gradle#4284:ws540/pv611|client#23812:ws4812/pv7554|gradle#16924:ws598/pv687
17:47:05,4830,38166,4,6049,9047,gradle#46140:ws100/pv196|gradle#4284:ws540/pv611|client#23812:ws4811/pv7553|gradle#16924:ws598/pv687
17:47:16,4858,38116,4,6061,9059,gradle#46140:ws100/pv196|gradle#4284:ws540/pv611|client#23812:ws4821/pv7563|gradle#16924:ws600/pv689
17:47:26,4867,38118,4,6061,9059,gradle#46140:ws100/pv196|gradle#4284:ws540/pv611|client#23812:ws4821/pv7563|gradle#16924:ws600/pv689
17:47:37,4781,38211,4,6149,9147,gradle#46140:ws100/pv196|gradle#4284:ws541/pv611|client#23812:ws4908/pv7651|gradle#16924:ws600/pv689
17:47:47,4786,38196,4,6075,9073,gradle#46140:ws100/pv196|gradle#4284:ws541/pv611|client#23812:ws4834/pv7577|gradle#16924:ws600/pv689
17:47:58,4807,38187,4,6075,9073,gradle#46140:ws100/pv197|gradle#4284:ws541/pv611|client#23812:ws4834/pv7576|gradle#16924:ws600/pv689
17:48:08,4489,38693,4,6489,9581,gradle#46140:ws100/pv197|gradle#4284:ws541/pv611|client#23812:ws5247/pv8083|gradle#16924:ws601/pv690
17:48:19,4303,38743,4,6591,9585,gradle#46140:ws100/pv197|gradle#4284:ws541/pv611|client#23812:ws5349/pv8087|gradle#16924:ws601/pv690
17:48:29,4286,38731,4,6591,9585,gradle#46140:ws100/pv197|gradle#4284:ws541/pv611|client#23812:ws5349/pv8087|gradle#16924:ws601/pv690
17:48:40,4303,38716,4,6592,9586,gradle#46140:ws100/pv197|gradle#4284:ws541/pv611|client#23812:ws5350/pv8088|gradle#16924:ws601/pv690
17:48:50,4291,38744,4,6593,9587,gradle#46140:ws100/pv197|gradle#4284:ws542/pv612|client#23812:ws5350/pv8088|gradle#16924:ws601/pv690
17:49:01,4251,38767,4,6602,9588,gradle#46140:ws100/pv197|gradle#4284:ws542/pv612|client#23812:ws5359/pv8089|gradle#16924:ws601/pv690
17:49:11,4588,38412,4,6601,9635,gradle#46140:ws100/pv197|gradle#4284:ws542/pv612|client#23812:ws5358/pv8136|gradle#16924:ws601/pv690
17:49:22,4326,38893,4,6598,9774,gradle#46140:ws100/pv197|gradle#4284:ws542/pv612|client#23812:ws5355/pv8275|gradle#16924:ws601/pv690
