ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
04:09:13,13486,22517,0,0,0,
04:09:23,12913,23325,2,567,796,gradle#1712:ws97/pv197|gradle#14316:ws470/pv599
04:09:34,12464,24774,3,760,2038,gradle#1712:ws98/pv196|gradle#14316:ws580/pv654|client#45576:ws82/pv1188
04:09:44,11263,25230,3,1726,2305,gradle#1712:ws99/pv197|gradle#14316:ws585/pv656|client#45576:ws1042/pv1452
04:09:55,11310,26113,4,2329,3165,gradle#1712:ws100/pv198|gradle#14316:ws585/pv657|client#45576:ws1554/pv1916|gradle#27500:ws90/pv394
04:10:05,10270,26877,4,3325,3877,gradle#1712:ws100/pv199|gradle#14316:ws581/pv652|client#45576:ws2140/pv2413|gradle#27500:ws504/pv613
04:10:16,9319,27725,4,4170,4704,gradle#1712:ws100/pv199|gradle#14316:ws581/pv652|client#45576:ws2786/pv3062|gradle#27500:ws703/pv791
04:10:26,8780,28300,4,4672,5201,gradle#1712:ws100/pv197|gradle#14316:ws581/pv652|client#45576:ws3344/pv3609|gradle#27500:ws647/pv743
04:10:37,8618,28475,4,4839,5356,gradle#1712:ws101/pv198|gradle#14316:ws597/pv668|client#45576:ws3490/pv3743|gradle#27500:ws651/pv747
04:10:47,8379,30515,4,5023,7342,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3687/pv5742|gradle#27500:ws654/pv749
04:10:58,8270,31391,4,5112,8214,gradle#1712:ws100/pv198|gradle#14316:ws603/pv676|client#45576:ws3755/pv6591|gradle#27500:ws654/pv749
04:11:08,8335,31368,4,5071,8213,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3735/pv6613|gradle#27500:ws654/pv749
04:11:19,8342,31344,4,5071,8197,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3763/pv6626|gradle#27500:ws626/pv720
04:11:29,8324,31353,4,5072,8200,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3764/pv6629|gradle#27500:ws626/pv720
04:11:40,8346,31314,4,5063,8173,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3764/pv6627|gradle#27500:ws617/pv695
04:11:50,8353,31309,4,5064,8147,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3765/pv6601|gradle#27500:ws617/pv695
04:12:01,8394,31313,4,4986,8104,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3686/pv6557|gradle#27500:ws618/pv696
04:12:11,8398,31279,4,5003,8118,gradle#1712:ws100/pv198|gradle#14316:ws582/pv653|client#45576:ws3696/pv6563|gradle#27500:ws625/pv704
04:12:22,8452,31238,4,5013,8128,gradle#1712:ws100/pv198|gradle#14316:ws583/pv654|client#45576:ws3705/pv6572|gradle#27500:ws625/pv704
04:12:32,8495,31100,4,5008,8001,gradle#1712:ws100/pv197|gradle#14316:ws580/pv651|client#45576:ws3703/pv6449|gradle#27500:ws625/pv704
04:12:42,8333,31169,4,5098,8030,gradle#1712:ws101/pv198|gradle#14316:ws588/pv659|client#45576:ws3784/pv6469|gradle#27500:ws625/pv704
04:12:53,8355,31119,4,5081,7982,gradle#1712:ws100/pv197|gradle#14316:ws588/pv659|client#45576:ws3768/pv6422|gradle#27500:ws625/pv704
04:13:03,8319,31150,4,5090,7990,gradle#1712:ws100/pv197|gradle#14316:ws597/pv668|client#45576:ws3767/pv6421|gradle#27500:ws626/pv704
04:13:14,8243,31236,4,5187,8090,gradle#1712:ws100/pv197|gradle#14316:ws597/pv668|client#45576:ws3864/pv6521|gradle#27500:ws626/pv704
04:13:24,8196,31257,4,5214,8115,gradle#1712:ws100/pv197|gradle#14316:ws597/pv668|client#45576:ws3891/pv6546|gradle#27500:ws626/pv704
04:13:35,8220,31247,4,5216,8107,gradle#1712:ws100/pv197|gradle#14316:ws602/pv673|client#45576:ws3888/pv6533|gradle#27500:ws626/pv704
04:13:45,7934,31966,4,5461,8769,gradle#1712:ws100/pv197|gradle#14316:ws602/pv673|client#45576:ws4133/pv7195|gradle#27500:ws626/pv704
04:13:56,7850,32034,4,5540,8849,gradle#1712:ws100/pv197|gradle#14316:ws602/pv673|client#45576:ws4212/pv7275|gradle#27500:ws626/pv704
04:14:06,7462,32077,4,5926,8827,gradle#1712:ws100/pv197|gradle#14316:ws604/pv675|client#45576:ws4596/pv7251|gradle#27500:ws626/pv704
04:14:17,7423,32059,4,5937,8836,gradle#1712:ws100/pv197|gradle#14316:ws604/pv675|client#45576:ws4607/pv7260|gradle#27500:ws626/pv704
04:14:27,7421,32235,4,5863,8963,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4532/pv7386|gradle#27500:ws626/pv704
04:14:38,7430,32205,4,5876,8938,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4545/pv7361|gradle#27500:ws626/pv704
04:14:48,7250,32537,4,5880,9036,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4549/pv7459|gradle#27500:ws626/pv704
04:14:59,7590,32385,4,5884,8936,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4552/pv7358|gradle#27500:ws627/pv705
04:15:09,7611,32274,4,5876,8853,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4544/pv7275|gradle#27500:ws627/pv705
04:15:20,7714,32125,4,5877,8854,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4545/pv7276|gradle#27500:ws627/pv705
04:15:30,7692,32148,4,5879,8856,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4547/pv7278|gradle#27500:ws627/pv705
04:15:41,7578,32278,4,5879,8856,gradle#1712:ws100/pv197|gradle#14316:ws605/pv676|client#45576:ws4547/pv7278|gradle#27500:ws627/pv705
04:15:51,7538,32360,4,5880,8857,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws4547/pv7278|gradle#27500:ws627/pv705
04:16:02,7563,32322,4,5880,8857,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws4547/pv7278|gradle#27500:ws627/pv705
04:16:12,7603,32235,4,5887,8864,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws4554/pv7285|gradle#27500:ws627/pv705
04:16:22,7646,32198,4,5887,8864,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws4554/pv7285|gradle#27500:ws627/pv705
04:16:33,7648,32186,4,5886,8863,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws4553/pv7284|gradle#27500:ws627/pv705
04:16:43,6756,33097,4,6786,9755,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws5453/pv8176|gradle#27500:ws627/pv705
04:16:53,6779,33090,4,6787,9756,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws5454/pv8177|gradle#27500:ws627/pv705
04:17:04,6775,33071,4,6788,9757,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws5454/pv8177|gradle#27500:ws628/pv706
04:17:14,6885,32918,4,6789,9758,gradle#1712:ws100/pv197|gradle#14316:ws606/pv677|client#45576:ws5455/pv8178|gradle#27500:ws628/pv706
04:17:25,6722,33096,4,6793,9760,gradle#1712:ws100/pv197|gradle#14316:ws609/pv679|client#45576:ws5456/pv8178|gradle#27500:ws628/pv706
04:17:35,6829,32990,4,6712,9681,gradle#1712:ws100/pv197|gradle#14316:ws609/pv679|client#45576:ws5369/pv8093|gradle#27500:ws634/pv712
04:17:46,6824,33010,4,6721,9691,gradle#1712:ws100/pv197|gradle#14316:ws609/pv679|client#45576:ws5378/pv8103|gradle#27500:ws634/pv712
04:17:56,6804,33228,4,6733,9898,gradle#1712:ws100/pv197|gradle#14316:ws609/pv679|client#45576:ws5390/pv8310|gradle#27500:ws634/pv712
04:18:06,6804,33140,4,6736,9794,gradle#1712:ws100/pv197|gradle#14316:ws609/pv679|client#45576:ws5393/pv8206|gradle#27500:ws634/pv712
