ts,smClockMHz,memClockMHz,tempC,utilGpuPct,utilMemPct,powerW,pstate,clockThrottleReasons
21:59:39.110,210,405,47,20,31,7.92,P8,0x0000000000000001
21:59:40.250,210,405,47,42,31,7.85,P8,0x0000000000000001
21:59:41.364,210,405,47,7,29,7.94,P8,0x0000000000000001
21:59:42.494,210,405,47,19,30,8.03,P8,0x0000000000000001
21:59:43.672,210,405,47,7,29,7.95,P8,0x0000000000000001
21:59:44.833,210,405,48,10,29,7.84,P8,0x0000000000000001
21:59:45.974,210,405,48,7,29,7.93,P8,0x0000000000000001
21:59:47.137,210,405,48,7,29,7.95,P8,0x0000000000000001
21:59:48.317,210,405,48,7,29,7.97,P8,0x0000000000000001
21:59:49.477,210,405,48,18,30,8.00,P8,0x0000000000000001
21:59:50.630,210,405,49,19,30,8.02,P8,0x0000000000000001
21:59:51.785,210,405,49,19,30,8.02,P8,0x0000000000000001
21:59:52.944,210,405,49,7,29,8.07,P8,0x0000000000000001
21:59:54.100,210,405,49,7,29,8.06,P8,0x0000000000000001
21:59:55.256,210,405,49,7,29,8.07,P8,0x0000000000000001
21:59:56.412,210,405,49,19,30,8.04,P8,0x0000000000000001
21:59:57.573,210,405,49,7,29,8.00,P8,0x0000000000000001
21:59:58.711,210,405,49,7,29,8.07,P8,0x0000000000000001
21:59:59.869,210,405,49,7,29,8.10,P8,0x0000000000000001
22:00:01.008,210,405,49,22,31,8.12,P8,0x0000000000000001
22:00:02.183,210,405,49,31,30,8.12,P8,0x0000000000000001
22:00:03.348,210,405,49,19,30,8.13,P8,0x0000000000000001
22:00:04.520,210,405,49,7,29,8.14,P8,0x0000000000000001
22:00:05.694,210,405,50,7,29,8.15,P8,0x0000000000000001
22:00:06.853,210,405,50,7,29,8.18,P8,0x0000000000000001
22:00:08.009,210,405,50,19,30,8.15,P8,0x0000000000000001
22:00:09.152,210,405,50,19,30,8.14,P8,0x0000000000000001
