ts,availMB,commitUsedMB,benchProcs,benchWsMB,benchPrivMB,detail
10:54:04,5714,35795,4,5000,6964,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws535/pv604|client#37848:ws3776/pv5490
10:54:15,5685,36928,4,5089,8164,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws539/pv609|client#37848:ws3861/pv6685
10:54:26,5211,37454,4,5525,8640,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws539/pv609|client#37848:ws4297/pv7161
10:54:36,5153,37517,4,5569,8706,gradle#18952:ws589/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4341/pv7227
10:54:47,5204,37479,4,5565,8701,gradle#18952:ws589/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4337/pv7222
10:54:58,5221,37438,4,5566,8654,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4337/pv7175
10:55:08,5219,37461,4,5573,8689,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4344/pv7210
10:55:19,5226,37471,4,5567,8702,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4338/pv7223
10:55:30,5358,37296,4,5567,8702,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4338/pv7223
10:55:40,5032,37681,4,5567,8699,gradle#18952:ws590/pv674|gradle#2472:ws99/pv196|gradle#4144:ws540/pv609|client#37848:ws4338/pv7220
10:55:51,5355,37634,4,5557,8781,gradle#18952:ws590/pv674|gradle#2472:ws99/pv197|gradle#4144:ws532/pv600|client#37848:ws4336/pv7310
10:56:02,5429,37343,4,5513,8533,gradle#18952:ws590/pv674|gradle#2472:ws105/pv202|gradle#4144:ws532/pv601|client#37848:ws4286/pv7056
10:56:12,5472,37253,4,5499,8483,gradle#18952:ws590/pv674|gradle#2472:ws99/pv197|gradle#4144:ws533/pv602|client#37848:ws4277/pv7010
10:56:23,5409,37328,4,5550,8532,gradle#18952:ws591/pv674|gradle#2472:ws99/pv197|gradle#4144:ws533/pv602|client#37848:ws4327/pv7059
10:56:33,5399,37355,4,5566,8547,gradle#18952:ws591/pv674|gradle#2472:ws100/pv197|gradle#4144:ws539/pv608|client#37848:ws4336/pv7068
10:56:44,5411,37326,4,5562,8543,gradle#18952:ws591/pv674|gradle#2472:ws100/pv197|gradle#4144:ws544/pv613|client#37848:ws4327/pv7059
10:56:54,5405,37326,4,5561,8538,gradle#18952:ws591/pv674|gradle#2472:ws100/pv197|gradle#4144:ws533/pv601|client#37848:ws4337/pv7066
10:57:05,5124,37934,4,5565,8529,gradle#18952:ws592/pv674|gradle#2472:ws100/pv197|gradle#4144:ws533/pv601|client#37848:ws4340/pv7057
10:57:16,4930,37807,4,5573,8541,gradle#18952:ws592/pv674|gradle#2472:ws100/pv197|gradle#4144:ws533/pv601|client#37848:ws4348/pv7069
10:57:26,4989,37768,4,5567,8566,gradle#18952:ws592/pv674|gradle#2472:ws100/pv197|gradle#4144:ws533/pv601|client#37848:ws4342/pv7094
10:57:37,4155,38573,4,6439,9434,gradle#18952:ws592/pv675|gradle#2472:ws100/pv197|gradle#4144:ws533/pv601|client#37848:ws5214/pv7961
10:57:47,4205,38606,4,6470,9595,gradle#18952:ws593/pv675|gradle#2472:ws100/pv197|gradle#4144:ws553/pv622|client#37848:ws5224/pv8101
10:57:58,4197,38535,4,6472,9510,gradle#18952:ws593/pv675|gradle#2472:ws101/pv199|gradle#4144:ws553/pv622|client#37848:ws5225/pv8014
10:58:09,4212,38428,4,6465,9456,gradle#18952:ws593/pv675|gradle#2472:ws102/pv199|gradle#4144:ws553/pv622|client#37848:ws5217/pv7960
10:58:19,4260,38364,4,6464,9434,gradle#18952:ws593/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5217/pv7939
10:58:30,4281,38342,4,6464,9435,gradle#18952:ws593/pv675|gradle#2472:ws100/pv197|gradle#4144:ws553/pv622|client#37848:ws5218/pv7941
10:58:40,4271,38344,4,6466,9428,gradle#18952:ws594/pv675|gradle#2472:ws100/pv197|gradle#4144:ws553/pv622|client#37848:ws5219/pv7934
10:58:51,4240,38398,4,6465,9427,gradle#18952:ws594/pv675|gradle#2472:ws100/pv197|gradle#4144:ws553/pv622|client#37848:ws5218/pv7933
10:59:01,4278,38374,4,6465,9427,gradle#18952:ws594/pv675|gradle#2472:ws100/pv197|gradle#4144:ws553/pv622|client#37848:ws5218/pv7933
10:59:12,4172,38467,4,6584,9546,gradle#18952:ws594/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5336/pv8051
10:59:22,4227,38384,4,6473,9435,gradle#18952:ws594/pv675|gradle#2472:ws101/pv198|gradle#4144:ws553/pv622|client#37848:ws5225/pv7940
